 id;title;score
 132376;The Celebrity Solution;5
 132397;Advertising Information;1
 132472;Top fifteen great escapes;1
 132507;Space War: "The global economic system would probably collapse..." ;9
 132521;Nothing Between You and Your Machine;2
 132522;Should every computer chip have a cosmic ray detector?;3
 132290;Do You Memorialize Failure?;2
 132343;Stroustrup and Sutter: C++ to run and run;1
 132442;The future of communication?;6
 132562;Amazon: What are you hiding? (Kindle a failure?);4
 132636;Hits and misses in coverage of Intel's Atom processor;2
 132340;MyProps.org;1
 132362;Oops, They Fired All Their Workaholics;2
 132455;How They Hack Your Website;22
 132484;6 Ways to Increase Your Confidence As You Code;14
 132630;A keyboard without keys - Dasher;12
 132642;The Real Reason Microsoft About-Faced on IE8 Standards Opt-In;13
 132653;Marketing Is Not A Department;1
 132440;Newspeak is a new dynamic language, descended from Smalltalk and Self;6
 132469;How to be Creative;2
 132470;Mankind's secrets kept in lunar ark;3
 132479;A brutal week for credit markets;13
 132643;Sexy clones of classic Unix tools ;19
 132657;Slumming With Basic Programmers;5
 137466;Progressive CSS Enhancement;4
 132478;How Bluetooth got its name;1
 132482;Superstar cities defy downturn - The Rise of the Creative Class;7
 132504;Tcl/Tk got higher speed, modern theming engine, antialiased fonts and much more ...;1
 132510;CMU professor with terminal cancer shares  about Dreams;1
 132447;Twining motion of vines;1
 132475;Harvard easy up on low income families;1
 132489;A Return to Reading Blogs ;1
 132535;Ask YC: Content Delivery Networks;2
 132451;Human Data as a Playfield: The Passively Multiplayer Online Game;2
 132463;Coming Soon: Nothing Between You and Your Machine;1
 132532;A New Paradigm For Web Browsing: Nothing Between You and Your Machine;3
 132536;Fedora Core, Perlbal, ...;1
 132541;the more things change...;1
 132639;Top 10 vulnerabilities in Web Applications in Q4 2007;2
 132640;They Write the Right Stuff;25
 132827;The world's 50 most powerful blogs;8
 132559;Web developers, Web developers, Web developers (Steve Ballmer);1
 132561;'Odd Couple' keynote engages audience at MIX08;1
 132622;Geek Love (NYTimes Gary Gygax obituary);1
 132665;Smart Image Resizer (PHP);10
 132881;A Few Common Performance Mistakes;1
 132882; XFL: Flash's New Source Format;2
 132948;Young Entrepreneur's Help;1
 132957;More Monads on the Cheap: Inlined fromMaybe;4
 132961;‘Snow Day’ at the Beijing Olympics;3
 132543;Startups That Fail to Invest in Trust Will All Die;2
 132563;How to make your startup successful;15
 132637;A tool for recovering memory contents on cold boot attacks - msramdmp;2
 132699;Sunk costs, quitting and the value of your brand;5
 132700;Cryptonomicon;3
 132746;What sucks about Erlang.;1
 132971;Canada warns US over oil sands;1
 132980;Secrets of Superstar Employers;1
